noimprovment,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
100,25258464,25101210,43853,25057357,157254,1846148,0,1846148,Sat Jun 25 05:45:28 CEST 2011,Sat Jun 25 05:49:30 CEST 2011,241392,124507,124507.0,0.0,0
150,36335970,36102559,60403,36042156,233411,2625415,0,2625415,Sat Jun 25 05:49:30 CEST 2011,Sat Jun 25 05:55:14 CEST 2011,344475,125406,125406.0,0.0,0
200,45003420,44681110,75588,44605522,322310,3205110,0,3205110,Sat Jun 25 05:55:15 CEST 2011,Sat Jun 25 06:02:31 CEST 2011,436438,125397,125397.0,0.0,0
250,56518506,56113494,94549,56018945,405012,4054285,0,4054285,Sat Jun 25 06:02:31 CEST 2011,Sat Jun 25 06:11:38 CEST 2011,547000,123453,123453.0,0.0,0
300,70275348,69729714,115653,69614061,545634,4697471,0,4697471,Sat Jun 25 06:11:38 CEST 2011,Sat Jun 25 06:22:54 CEST 2011,675782,124282,124282.0,0.0,0
350,75075264,74476929,120870,74356059,598335,4819157,0,4819157,Sat Jun 25 06:22:54 CEST 2011,Sat Jun 25 06:34:59 CEST 2011,724682,123498,123498.0,0.0,0
400,92716470,91963559,149341,91814218,752911,6233344,0,6233344,Sat Jun 25 06:34:59 CEST 2011,Sat Jun 25 06:50:00 CEST 2011,901358,124148,124148.0,0.0,0
450,97910208,97126893,159102,96967791,783315,6510974,0,6510974,Sat Jun 25 06:50:00 CEST 2011,Sat Jun 25 07:05:59 CEST 2011,958134,125064,125064.0,0.0,0
500,113555376,112631165,180838,112450327,924211,7728627,0,7728627,Sat Jun 25 07:05:59 CEST 2011,Sat Jun 25 07:24:38 CEST 2011,1119716,123153,123153.0,0.0,0
550,107429256,106539259,175964,106363295,889997,6920568,0,6920568,Sat Jun 25 07:24:39 CEST 2011,Sat Jun 25 07:42:02 CEST 2011,1043697,124282,124282.0,0.0,0
600,115157592,114162563,186240,113976323,995029,7401064,0,7401064,Sat Jun 25 07:42:02 CEST 2011,Sat Jun 25 08:00:41 CEST 2011,1118282,122999,122999.0,0.0,0
