run,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1,1806480,1524040,79106,1444934,282440,900800,0,900800,Sat Jun 25 20:37:11 CEST 2011,Sat Jun 25 20:37:17 CEST 2011,5297,8276,8276.0,0.0,0
2,1806390,1524107,79072,1445035,282283,900980,0,900980,Sat Jun 25 20:37:17 CEST 2011,Sat Jun 25 20:37:22 CEST 2011,4295,8276,8276.0,0.0,0
3,1806480,1524066,79098,1444968,282414,900840,0,900840,Sat Jun 25 20:37:22 CEST 2011,Sat Jun 25 20:37:26 CEST 2011,4493,8276,8276.0,0.0,0
4,1806660,1524309,79095,1445214,282351,901060,0,901060,Sat Jun 25 20:37:26 CEST 2011,Sat Jun 25 20:37:31 CEST 2011,4155,8276,8276.0,0.0,0
5,1806120,1523749,79071,1444678,282371,900660,0,900660,Sat Jun 25 20:37:31 CEST 2011,Sat Jun 25 20:37:35 CEST 2011,4435,8276,8276.0,0.0,0
6,1806030,1523686,79062,1444624,282344,900640,0,900640,Sat Jun 25 20:37:35 CEST 2011,Sat Jun 25 20:37:40 CEST 2011,4559,8276,8276.0,0.0,0
7,1806300,1523966,79077,1444889,282334,900840,0,900840,Sat Jun 25 20:37:40 CEST 2011,Sat Jun 25 20:37:45 CEST 2011,4641,8276,8276.0,0.0,0
8,1806660,1524244,79105,1445139,282416,900960,0,900960,Sat Jun 25 20:37:45 CEST 2011,Sat Jun 25 20:37:49 CEST 2011,4326,8276,8276.0,0.0,0
9,1806030,1523738,79050,1444688,282292,900720,0,900720,Sat Jun 25 20:37:49 CEST 2011,Sat Jun 25 20:37:54 CEST 2011,4498,8276,8276.0,0.0,0
10,1806210,1523864,79077,1444787,282346,900760,0,900760,Sat Jun 25 20:37:54 CEST 2011,Sat Jun 25 20:37:59 CEST 2011,4706,8276,8276.0,0.0,0
